Response_ID,Respondent_ID,Consume_frequency,Consume_time,Consume_reason,Heard_before,Brand_perception,General_perception,Tried_before,Taste_experience,Reasons_preventing_trying,Current_brands,Reasons_for_choosing_brands,Improvements_desired,Ingredients_expected,Health_concerns,Interest_in_natural_or_organic,Marketing_channels,Packaging_preference,Limited_edition_packaging,Price_range,Purchase_location,Typical_consumption_situations
103142,120172,2-3 times a month,Throughout the day,To boost performance,No,Negative,Effective,No,4,Not interested in energy drinks,CodeX,Brand reputation,More natural ingredients,Guarana,No,No,TV commercials,Innovative bottle design,Yes,100-150,Gyms and fitness centers,Sports/exercise
103143,120173,Daily,For mental alertness,To enhance sports performance,No,Neutral,Healthy,No,5,Health concerns,CodeX,Brand reputation,More natural ingredients,Sugar,Yes,Yes,TV commercials,Collectible packaging,No,100-150,Online retailers,Other
103144,120174,2-3 times a week,For mental alertness,To boost performance,Yes,Neutral,Healthy,No,2,Health concerns,CodeX,Availability,More natural ingredients,Vitamins,Yes,Yes,Print media,Eco-friendly design,Not Sure,50-99,Gyms and fitness centers,Studying/working late
103148,120178,2-3 times a week,To stay awake during work/study,To enhance sports performance,Yes,Negative,Healthy,No,3,Health concerns,CodeX,Availability,Wider range of flavors,Vitamins,No,Yes,TV commercials,Compact and portable cans,Yes,100-150,Supermarkets,Sports/exercise
103154,120184,2-3 times a month,Before exercise,Increased energy and focus,No,Negative,Healthy,No,5,Health concerns,CodeX,Effectiveness,Wider range of flavors,Caffeine,Yes,Yes,Outdoor billboards,Innovative bottle design,Yes,Below 50,Supermarkets,Sports/exercise
103155,120185,2-3 times a week,For mental alertness,To boost performance,Yes,Positive,Not sure,No,4,Not interested in energy drinks,CodeX,Effectiveness,Wider range of flavors,Caffeine,Yes,Yes,TV commercials,Compact and portable cans,No,50-99,Online retailers,Sports/exercise
103175,120205,Rarely,For mental alertness,Increased energy and focus,Yes,Positive,Healthy,No,5,Not available locally,CodeX,Availability,Reduced sugar content,Caffeine,No,Yes,TV commercials,Compact and portable cans,Yes,50-99,Online retailers,Driving/commuting
103194,120224,2-3 times a week,For mental alertness,To combat fatigue,No,Neutral,Effective,No,5,Health concerns,CodeX,Taste/flavor preference,Wider range of flavors,Vitamins,Yes,Yes,TV commercials,Innovative bottle design,Not Sure,50-99,Supermarkets,Studying/working late
103229,120259,Daily,Throughout the day,To enhance sports performance,No,Positive,Not sure,Yes,1,Health concerns,CodeX,Taste/flavor preference,Reduced sugar content,Vitamins,No,No,Online ads,Innovative bottle design,Yes,Above 150,Other,Sports/exercise
103230,120260,2-3 times a week,Before exercise,To combat fatigue,Yes,Neutral,Dangerous,No,4,Health concerns,CodeX,Availability,More natural ingredients,Vitamins,No,Yes,Online ads,Other,No,Above 150,Supermarkets,Social outings/parties
103270,120300,2-3 times a week,To stay awake during work/study,Other,No,Positive,Effective,Yes,5,Not available locally,CodeX,Brand reputation,Wider range of flavors,Vitamins,No,No,Online ads,Innovative bottle design,Yes,50-99,Supermarkets,Studying/working late
103272,120302,Once a week,To stay awake during work/study,To boost performance,Yes,Neutral,Not sure,Yes,3,Not available locally,CodeX,Availability,Wider range of flavors,Guarana,Yes,Yes,TV commercials,Innovative bottle design,No,50-99,Supermarkets,Sports/exercise
103277,120307,2-3 times a week,Before exercise,Increased energy and focus,No,Neutral,Healthy,Yes,1,Health concerns,CodeX,Other,Reduced sugar content,Caffeine,Yes,Yes,Other,Collectible packaging,Not Sure,50-99,Supermarkets,Sports/exercise
103279,120309,2-3 times a week,Throughout the day,Increased energy and focus,Yes,Neutral,Effective,No,1,Unfamiliar with the brand,CodeX,Brand reputation,Wider range of flavors,Sugar,No,No,TV commercials,Innovative bottle design,Not Sure,Above 150,Local stores,Sports/exercise
103325,120355,2-3 times a month,Before exercise,To boost performance,Yes,Negative,Dangerous,No,3,Other,CodeX,Effectiveness,Wider range of flavors,Caffeine,Yes,No,TV commercials,Compact and portable cans,Yes,Above 150,Other,Studying/working late
103331,120361,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Neutral,Effective,Yes,3,Unfamiliar with the brand,CodeX,Availability,Healthier alternatives,Caffeine,Yes,No,TV commercials,Collectible packaging,Not Sure,50-99,Gyms and fitness centers,Studying/working late
103359,120389,Once a week,Before exercise,To boost performance,Yes,Negative,Effective,Yes,2,Unfamiliar with the brand,CodeX,Other,More natural ingredients,Caffeine,Yes,Yes,Online ads,Innovative bottle design,Yes,50-99,Gyms and fitness centers,Sports/exercise
103367,120397,Daily,Before exercise,Increased energy and focus,No,Neutral,Not sure,No,2,Health concerns,CodeX,Availability,Reduced sugar content,Caffeine,Yes,Yes,TV commercials,Compact and portable cans,Not Sure,100-150,Online retailers,Sports/exercise
103392,120422,Once a week,Before exercise,Other,No,Positive,Dangerous,Yes,5,Unfamiliar with the brand,CodeX,Brand reputation,Healthier alternatives,Caffeine,Yes,No,Online ads,Compact and portable cans,Yes,Above 150,Local stores,Other
103394,120424,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Positive,Dangerous,No,4,Not available locally,CodeX,Brand reputation,Healthier alternatives,Guarana,No,Not Sure,TV commercials,Collectible packaging,No,100-150,Supermarkets,Studying/working late
103397,120427,2-3 times a week,To stay awake during work/study,Increased energy and focus,No,Negative,Effective,No,3,Unfamiliar with the brand,CodeX,Effectiveness,More natural ingredients,Vitamins,No,No,Print media,Innovative bottle design,Yes,Below 50,Supermarkets,Sports/exercise
103417,120447,Rarely,For mental alertness,To enhance sports performance,No,Neutral,Dangerous,Yes,3,Not available locally,CodeX,Other,Reduced sugar content,Caffeine,Yes,Yes,Print media,Collectible packaging,Not Sure,Above 150,Gyms and fitness centers,Studying/working late
103431,120461,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Effective,Yes,3,Unfamiliar with the brand,CodeX,Other,Wider range of flavors,Caffeine,Yes,Yes,Other,Compact and portable cans,Yes,100-150,Other,Studying/working late
103433,120463,2-3 times a week,For mental alertness,To combat fatigue,No,Neutral,Dangerous,Yes,5,Not available locally,CodeX,Taste/flavor preference,More natural ingredients,Sugar,Yes,Yes,Print media,Compact and portable cans,No,100-150,Supermarkets,Other
103441,120471,Rarely,For mental alertness,Increased energy and focus,Yes,Negative,Dangerous,No,3,Health concerns,CodeX,Effectiveness,Healthier alternatives,Vitamins,No,Not Sure,Online ads,Innovative bottle design,Not Sure,Below 50,Online retailers,Sports/exercise
103447,120477,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Positive,Healthy,No,3,Health concerns,CodeX,Taste/flavor preference,Reduced sugar content,Vitamins,No,No,Other,Innovative bottle design,No,50-99,Gyms and fitness centers,Studying/working late
103448,120478,Rarely,For mental alertness,To boost performance,No,Neutral,Not sure,No,3,Other,CodeX,Taste/flavor preference,Other,Guarana,Yes,No,Other,Eco-friendly design,Yes,100-150,Gyms and fitness centers,Sports/exercise
103454,120484,Once a week,Before exercise,To combat fatigue,No,Negative,Healthy,Yes,3,Unfamiliar with the brand,CodeX,Availability,Healthier alternatives,Guarana,No,Not Sure,Print media,Compact and portable cans,Yes,50-99,Supermarkets,Studying/working late
103457,120487,2-3 times a week,Before exercise,To combat fatigue,No,Neutral,Effective,No,4,Not interested in energy drinks,CodeX,Taste/flavor preference,More natural ingredients,Sugar,No,Yes,Outdoor billboards,Innovative bottle design,No,50-99,Online retailers,Sports/exercise
103462,120492,Rarely,Before exercise,Other,Yes,Positive,Healthy,No,5,Not available locally,CodeX,Other,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Innovative bottle design,No,Below 50,Supermarkets,Sports/exercise
103474,120504,2-3 times a month,For mental alertness,To combat fatigue,No,Negative,Dangerous,No,4,Not available locally,CodeX,Brand reputation,More natural ingredients,Sugar,No,Not Sure,TV commercials,Innovative bottle design,Yes,100-150,Gyms and fitness centers,Studying/working late
103490,120520,Rarely,Before exercise,Increased energy and focus,Yes,Negative,Effective,No,2,Not interested in energy drinks,CodeX,Taste/flavor preference,More natural ingredients,Guarana,No,Not Sure,Print media,Eco-friendly design,Not Sure,50-99,Online retailers,Sports/exercise
103512,120542,2-3 times a month,Before exercise,To combat fatigue,No,Neutral,Effective,No,5,Not interested in energy drinks,CodeX,Effectiveness,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Eco-friendly design,Not Sure,100-150,Other,Sports/exercise
103523,120553,Daily,Before exercise,Increased energy and focus,Yes,Neutral,Effective,Yes,4,Other,CodeX,Availability,Reduced sugar content,Guarana,Yes,No,Outdoor billboards,Innovative bottle design,Yes,50-99,Online retailers,Studying/working late
103525,120555,Rarely,Before exercise,To combat fatigue,No,Neutral,Not sure,No,4,Not available locally,CodeX,Taste/flavor preference,Wider range of flavors,Caffeine,Yes,No,TV commercials,Compact and portable cans,Not Sure,50-99,Online retailers,Studying/working late
103539,120569,2-3 times a week,Before exercise,To enhance sports performance,No,Neutral,Healthy,No,5,Not interested in energy drinks,CodeX,Availability,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Compact and portable cans,No,Above 150,Supermarkets,Sports/exercise
103544,120574,Daily,To stay awake during work/study,To combat fatigue,Yes,Neutral,Not sure,Yes,4,Not available locally,CodeX,Brand reputation,Healthier alternatives,Guarana,Yes,Not Sure,Online ads,Compact and portable cans,Yes,100-150,Supermarkets,Sports/exercise
103545,120575,2-3 times a week,Before exercise,To combat fatigue,Yes,Negative,Dangerous,Yes,4,Other,CodeX,Taste/flavor preference,More natural ingredients,Vitamins,No,Yes,Other,Compact and portable cans,Yes,Below 50,Online retailers,Studying/working late
103547,120577,2-3 times a week,To stay awake during work/study,To enhance sports performance,Yes,Negative,Dangerous,No,4,Not available locally,CodeX,Other,Wider range of flavors,Caffeine,Yes,Yes,Online ads,Collectible packaging,No,50-99,Supermarkets,Sports/exercise
103549,120579,Rarely,Before exercise,Other,No,Neutral,Healthy,Yes,2,Other,CodeX,Other,Other,Vitamins,No,Yes,Online ads,Eco-friendly design,Yes,50-99,Supermarkets,Sports/exercise
103550,120580,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Neutral,Effective,No,2,Unfamiliar with the brand,CodeX,Brand reputation,Reduced sugar content,Sugar,Yes,Yes,Outdoor billboards,Compact and portable cans,No,50-99,Online retailers,Social outings/parties
103555,120585,Daily,To stay awake during work/study,Increased energy and focus,No,Negative,Dangerous,Yes,4,Not available locally,CodeX,Other,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Innovative bottle design,No,Below 50,Supermarkets,Studying/working late
103558,120588,2-3 times a week,To stay awake during work/study,Increased energy and focus,No,Neutral,Healthy,No,2,Not available locally,CodeX,Brand reputation,More natural ingredients,Vitamins,Yes,Yes,Online ads,Compact and portable cans,No,100-150,Supermarkets,Studying/working late
103560,120590,2-3 times a month,Throughout the day,Increased energy and focus,No,Neutral,Healthy,No,5,Health concerns,CodeX,Brand reputation,Wider range of flavors,Guarana,No,Yes,Outdoor billboards,Innovative bottle design,Yes,Above 150,Supermarkets,Social outings/parties
103569,120599,2-3 times a week,To stay awake during work/study,To boost performance,No,Positive,Not sure,Yes,5,Health concerns,CodeX,Effectiveness,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Other,Yes,Below 50,Online retailers,Studying/working late
103604,120634,Rarely,For mental alertness,To combat fatigue,Yes,Neutral,Not sure,No,4,Health concerns,CodeX,Effectiveness,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Innovative bottle design,No,Above 150,Other,Studying/working late
103642,120672,2-3 times a month,For mental alertness,To enhance sports performance,Yes,Positive,Dangerous,No,3,Health concerns,CodeX,Availability,More natural ingredients,Caffeine,Yes,Yes,TV commercials,Compact and portable cans,Yes,100-150,Online retailers,Studying/working late
103668,120698,2-3 times a month,Before exercise,To boost performance,No,Positive,Dangerous,No,4,Health concerns,CodeX,Taste/flavor preference,Reduced sugar content,Caffeine,Yes,Yes,TV commercials,Innovative bottle design,No,Above 150,Online retailers,Sports/exercise
103685,120715,Once a week,To stay awake during work/study,To enhance sports performance,No,Negative,Effective,No,4,Unfamiliar with the brand,CodeX,Taste/flavor preference,Healthier alternatives,Caffeine,Yes,Not Sure,TV commercials,Compact and portable cans,Not Sure,100-150,Supermarkets,Studying/working late
103686,120716,Once a week,Before exercise,To enhance sports performance,Yes,Neutral,Effective,No,4,Other,CodeX,Effectiveness,More natural ingredients,Sugar,No,Not Sure,Online ads,Compact and portable cans,No,Above 150,Online retailers,Studying/working late
103695,120725,2-3 times a month,Throughout the day,To boost performance,No,Positive,Effective,No,3,Other,CodeX,Brand reputation,Reduced sugar content,Sugar,No,Not Sure,Online ads,Innovative bottle design,No,Above 150,Other,Sports/exercise
103698,120728,Once a week,For mental alertness,To combat fatigue,Yes,Negative,Effective,No,5,Unfamiliar with the brand,CodeX,Other,Wider range of flavors,Sugar,Yes,Yes,Outdoor billboards,Compact and portable cans,No,100-150,Supermarkets,Social outings/parties
103702,120732,2-3 times a week,To stay awake during work/study,To combat fatigue,Yes,Negative,Not sure,Yes,3,Not interested in energy drinks,CodeX,Brand reputation,Other,Sugar,Yes,Not Sure,Print media,Compact and portable cans,Yes,Above 150,Gyms and fitness centers,Other
103712,120742,2-3 times a week,Before exercise,Increased energy and focus,Yes,Positive,Effective,Yes,2,Unfamiliar with the brand,CodeX,Brand reputation,More natural ingredients,Caffeine,Yes,Yes,Other,Compact and portable cans,Not Sure,50-99,Supermarkets,Sports/exercise
103724,120754,Rarely,For mental alertness,Increased energy and focus,No,Negative,Dangerous,No,5,Not available locally,CodeX,Other,Healthier alternatives,Sugar,Yes,Not Sure,TV commercials,Compact and portable cans,No,100-150,Local stores,Other
103731,120761,2-3 times a week,Before exercise,To boost performance,Yes,Neutral,Effective,Yes,3,Other,CodeX,Effectiveness,More natural ingredients,Vitamins,No,Not Sure,Online ads,Innovative bottle design,No,50-99,Supermarkets,Sports/exercise
103739,120769,Rarely,Before exercise,To enhance sports performance,No,Negative,Dangerous,No,4,Unfamiliar with the brand,CodeX,Brand reputation,Healthier alternatives,Sugar,Yes,Yes,TV commercials,Compact and portable cans,No,50-99,Online retailers,Sports/exercise
103750,120780,2-3 times a week,Throughout the day,To enhance sports performance,Yes,Negative,Effective,Yes,4,Unfamiliar with the brand,CodeX,Effectiveness,Wider range of flavors,Guarana,Yes,No,Outdoor billboards,Compact and portable cans,Not Sure,50-99,Supermarkets,Other
103751,120781,2-3 times a month,Before exercise,To enhance sports performance,Yes,Positive,Dangerous,No,1,Not available locally,CodeX,Availability,Reduced sugar content,Sugar,Yes,No,TV commercials,Eco-friendly design,Not Sure,100-150,Online retailers,Studying/working late
103753,120783,2-3 times a week,Throughout the day,Increased energy and focus,Yes,Positive,Effective,No,4,Not available locally,CodeX,Effectiveness,Healthier alternatives,Vitamins,Yes,Yes,Online ads,Compact and portable cans,No,Below 50,Online retailers,Studying/working late
103754,120784,2-3 times a week,Before exercise,To enhance sports performance,No,Positive,Dangerous,No,3,Health concerns,CodeX,Availability,Wider range of flavors,Caffeine,No,Yes,Online ads,Compact and portable cans,No,100-150,Other,Sports/exercise
103756,120786,Daily,To stay awake during work/study,To combat fatigue,Yes,Neutral,Effective,No,1,Health concerns,CodeX,Brand reputation,More natural ingredients,Caffeine,No,Yes,Outdoor billboards,Collectible packaging,Yes,Below 50,Online retailers,Other
103760,120790,2-3 times a month,Before exercise,Increased energy and focus,Yes,Neutral,Dangerous,Yes,3,Unfamiliar with the brand,CodeX,Taste/flavor preference,Healthier alternatives,Guarana,Yes,Not Sure,Print media,Compact and portable cans,Yes,100-150,Online retailers,Sports/exercise
103766,120796,Once a week,Before exercise,To combat fatigue,No,Neutral,Not sure,No,3,Other,CodeX,Brand reputation,More natural ingredients,Guarana,No,Not Sure,Online ads,Innovative bottle design,No,50-99,Supermarkets,Sports/exercise
103772,120802,2-3 times a week,To stay awake during work/study,To enhance sports performance,No,Neutral,Not sure,No,3,Unfamiliar with the brand,CodeX,Taste/flavor preference,Reduced sugar content,Guarana,No,Not Sure,TV commercials,Compact and portable cans,No,Above 150,Supermarkets,Studying/working late
103781,120811,Daily,Before exercise,Increased energy and focus,No,Negative,Healthy,Yes,3,Not available locally,CodeX,Effectiveness,Reduced sugar content,Caffeine,Yes,No,Online ads,Compact and portable cans,Not Sure,100-150,Local stores,Studying/working late
103787,120817,2-3 times a week,To stay awake during work/study,Increased energy and focus,No,Positive,Dangerous,No,5,Health concerns,CodeX,Other,More natural ingredients,Caffeine,Yes,Yes,Outdoor billboards,Innovative bottle design,Yes,Below 50,Online retailers,Sports/exercise
103790,120820,2-3 times a week,Throughout the day,To boost performance,No,Neutral,Dangerous,No,5,Unfamiliar with the brand,CodeX,Taste/flavor preference,More natural ingredients,Caffeine,Yes,Yes,Online ads,Collectible packaging,Yes,Above 150,Supermarkets,Sports/exercise
103803,120833,Once a week,For mental alertness,To enhance sports performance,Yes,Neutral,Dangerous,Yes,3,Health concerns,CodeX,Availability,Reduced sugar content,Caffeine,No,No,Online ads,Innovative bottle design,Yes,Above 150,Online retailers,Studying/working late
103830,120860,Once a week,Before exercise,Increased energy and focus,Yes,Neutral,Not sure,No,3,Unfamiliar with the brand,CodeX,Taste/flavor preference,Healthier alternatives,Caffeine,No,Yes,Outdoor billboards,Compact and portable cans,Yes,50-99,Gyms and fitness centers,Studying/working late
103848,120878,Once a week,To stay awake during work/study,To combat fatigue,No,Positive,Dangerous,Yes,5,Not available locally,CodeX,Taste/flavor preference,Reduced sugar content,Caffeine,No,Not Sure,Other,Other,Yes,Below 50,Supermarkets,Sports/exercise
103858,120888,Rarely,For mental alertness,To boost performance,Yes,Negative,Not sure,No,3,Health concerns,CodeX,Taste/flavor preference,Reduced sugar content,Vitamins,Yes,Not Sure,TV commercials,Compact and portable cans,Yes,100-150,Gyms and fitness centers,Sports/exercise
103867,120897,Rarely,Before exercise,To boost performance,Yes,Neutral,Not sure,No,5,Unfamiliar with the brand,CodeX,Effectiveness,Wider range of flavors,Vitamins,No,Yes,Outdoor billboards,Compact and portable cans,Yes,Below 50,Gyms and fitness centers,Studying/working late
103870,120900,2-3 times a week,Before exercise,Increased energy and focus,No,Neutral,Not sure,No,4,Other,CodeX,Effectiveness,More natural ingredients,Caffeine,Yes,No,Online ads,Innovative bottle design,Yes,Above 150,Other,Sports/exercise
103878,120908,2-3 times a week,For mental alertness,Increased energy and focus,No,Negative,Not sure,No,5,Unfamiliar with the brand,CodeX,Availability,Reduced sugar content,Caffeine,No,Yes,Online ads,Eco-friendly design,Yes,50-99,Local stores,Sports/exercise
103882,120912,2-3 times a week,Before exercise,Increased energy and focus,Yes,Negative,Dangerous,Yes,3,Unfamiliar with the brand,CodeX,Effectiveness,Reduced sugar content,Sugar,Yes,Not Sure,Print media,Innovative bottle design,Yes,100-150,Supermarkets,Social outings/parties
103897,120927,Rarely,Before exercise,To enhance sports performance,Yes,Neutral,Healthy,No,3,Health concerns,CodeX,Brand reputation,Reduced sugar content,Sugar,No,No,Outdoor billboards,Compact and portable cans,Yes,Above 150,Supermarkets,Social outings/parties
103899,120929,Daily,To stay awake during work/study,To enhance sports performance,Yes,Positive,Effective,Yes,1,Health concerns,CodeX,Other,Reduced sugar content,Caffeine,Yes,No,TV commercials,Compact and portable cans,Not Sure,100-150,Supermarkets,Sports/exercise
103900,120930,Daily,To stay awake during work/study,To combat fatigue,Yes,Neutral,Dangerous,Yes,5,Health concerns,CodeX,Brand reputation,Wider range of flavors,Caffeine,Yes,Yes,Online ads,Innovative bottle design,Yes,Above 150,Supermarkets,Sports/exercise
103913,120943,2-3 times a week,For mental alertness,To boost performance,No,Neutral,Healthy,No,4,Not available locally,CodeX,Brand reputation,Wider range of flavors,Sugar,Yes,Yes,TV commercials,Compact and portable cans,No,50-99,Gyms and fitness centers,Studying/working late
103923,120953,Once a week,For mental alertness,Other,No,Neutral,Dangerous,Yes,2,Not interested in energy drinks,CodeX,Brand reputation,More natural ingredients,Vitamins,No,Not Sure,Other,Compact and portable cans,Not Sure,100-150,Gyms and fitness centers,Studying/working late
103927,120957,Once a week,For mental alertness,To enhance sports performance,No,Positive,Effective,No,3,Health concerns,CodeX,Taste/flavor preference,Reduced sugar content,Sugar,No,No,Outdoor billboards,Other,Yes,50-99,Supermarkets,Sports/exercise
103934,120964,Rarely,To stay awake during work/study,Increased energy and focus,No,Negative,Dangerous,Yes,2,Health concerns,CodeX,Brand reputation,Reduced sugar content,Caffeine,No,Yes,Online ads,Compact and portable cans,No,Above 150,Supermarkets,Sports/exercise
103949,120979,2-3 times a week,Throughout the day,To enhance sports performance,No,Negative,Healthy,Yes,3,Not available locally,CodeX,Taste/flavor preference,Healthier alternatives,Sugar,No,Yes,Outdoor billboards,Innovative bottle design,No,50-99,Gyms and fitness centers,Studying/working late
103978,121008,Rarely,Before exercise,To combat fatigue,No,Neutral,Not sure,No,5,Health concerns,CodeX,Brand reputation,More natural ingredients,Caffeine,Yes,Not Sure,Online ads,Compact and portable cans,No,Above 150,Gyms and fitness centers,Studying/working late
103988,121018,2-3 times a month,For mental alertness,To enhance sports performance,No,Neutral,Dangerous,Yes,1,Not interested in energy drinks,CodeX,Brand reputation,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Compact and portable cans,No,100-150,Supermarkets,Studying/working late
103991,121021,2-3 times a week,Throughout the day,To boost performance,Yes,Neutral,Healthy,No,5,Unfamiliar with the brand,CodeX,Taste/flavor preference,Reduced sugar content,Caffeine,Yes,No,Online ads,Collectible packaging,No,50-99,Online retailers,Social outings/parties
104020,121050,2-3 times a month,Before exercise,Other,No,Neutral,Not sure,No,2,Not available locally,CodeX,Taste/flavor preference,More natural ingredients,Caffeine,Yes,Yes,Online ads,Compact and portable cans,Yes,50-99,Supermarkets,Sports/exercise
104023,121053,2-3 times a week,Before exercise,To combat fatigue,No,Neutral,Not sure,No,1,Unfamiliar with the brand,CodeX,Other,Reduced sugar content,Caffeine,Yes,No,Online ads,Compact and portable cans,Yes,Above 150,Gyms and fitness centers,Sports/exercise
104049,121079,2-3 times a week,To stay awake during work/study,To boost performance,No,Neutral,Effective,Yes,3,Not available locally,CodeX,Availability,Reduced sugar content,Sugar,Yes,Not Sure,Online ads,Innovative bottle design,No,50-99,Online retailers,Social outings/parties
104056,121086,Daily,Before exercise,Increased energy and focus,No,Neutral,Dangerous,No,2,Health concerns,CodeX,Effectiveness,Reduced sugar content,Vitamins,Yes,Not Sure,Online ads,Innovative bottle design,No,Above 150,Supermarkets,Other
104060,121090,2-3 times a month,To stay awake during work/study,Increased energy and focus,No,Neutral,Effective,No,4,Health concerns,CodeX,Other,Other,Guarana,Yes,Not Sure,Online ads,Innovative bottle design,No,50-99,Supermarkets,Sports/exercise
104061,121091,Rarely,For mental alertness,Increased energy and focus,No,Neutral,Dangerous,Yes,1,Unfamiliar with the brand,CodeX,Brand reputation,Wider range of flavors,Caffeine,Yes,No,Print media,Innovative bottle design,Yes,50-99,Supermarkets,Studying/working late
104066,121096,2-3 times a month,For mental alertness,Other,No,Positive,Not sure,Yes,3,Health concerns,CodeX,Taste/flavor preference,Wider range of flavors,Vitamins,Yes,Not Sure,TV commercials,Innovative bottle design,No,100-150,Local stores,Studying/working late
104094,121124,2-3 times a week,Before exercise,Increased energy and focus,No,Positive,Effective,Yes,2,Health concerns,CodeX,Brand reputation,More natural ingredients,Caffeine,No,Not Sure,Online ads,Compact and portable cans,Yes,50-99,Other,Studying/working late
104109,121139,Once a week,Throughout the day,To enhance sports performance,No,Neutral,Effective,Yes,1,Not available locally,CodeX,Effectiveness,Reduced sugar content,Guarana,Yes,Not Sure,Online ads,Collectible packaging,No,100-150,Gyms and fitness centers,Sports/exercise
104110,121140,Once a week,For mental alertness,Increased energy and focus,Yes,Positive,Dangerous,No,3,Health concerns,CodeX,Brand reputation,Wider range of flavors,Vitamins,No,Not Sure,TV commercials,Innovative bottle design,Yes,50-99,Online retailers,Studying/working late
104122,121152,2-3 times a week,To stay awake during work/study,To boost performance,Yes,Positive,Not sure,No,5,Not interested in energy drinks,CodeX,Availability,Wider range of flavors,Vitamins,Yes,Yes,Print media,Innovative bottle design,Yes,50-99,Online retailers,Studying/working late
104133,121163,Rarely,To stay awake during work/study,Increased energy and focus,Yes,Positive,Dangerous,Yes,1,Health concerns,CodeX,Availability,More natural ingredients,Vitamins,Yes,No,Print media,Eco-friendly design,Not Sure,100-150,Supermarkets,Sports/exercise
