Response_ID,Respondent_ID,Consume_frequency,Consume_time,Consume_reason,Heard_before,Brand_perception,General_perception,Tried_before,Taste_experience,Reasons_preventing_trying,Current_brands,Reasons_for_choosing_brands,Improvements_desired,Ingredients_expected,Health_concerns,Interest_in_natural_or_organic,Marketing_channels,Packaging_preference,Limited_edition_packaging,Price_range,Purchase_location,Typical_consumption_situations
103075,120105,Once a week,To stay awake during work/study,Increased energy and focus,Yes,Positive,Dangerous,Yes,2,Unfamiliar with the brand,Cola-Coka,Effectiveness,Reduced sugar content,Vitamins,Yes,Yes,Online ads,Compact and portable cans,Yes,50-99,Other,Studying/working late
103077,120107,Rarely,To stay awake during work/study,Increased energy and focus,No,Neutral,Healthy,Yes,1,Health concerns,Cola-Coka,Other,Other,Sugar,Yes,No,Other,Innovative bottle design,No,Below 50,Supermarkets,Studying/working late
103083,120113,Rarely,For mental alertness,Increased energy and focus,No,Neutral,Dangerous,No,3,Unfamiliar with the brand,Bepsi,Effectiveness,Reduced sugar content,Sugar,No,Yes,Online ads,Collectible packaging,Yes,50-99,Supermarkets,Sports/exercise
103085,120115,Once a week,For mental alertness,Other,No,Neutral,Effective,Yes,1,Not available locally,Bepsi,Availability,Healthier alternatives,Guarana,Yes,Yes,Other,Compact and portable cans,Yes,100-150,Online retailers,Social outings/parties
103086,120116,Daily,Before exercise,To boost performance,Yes,Neutral,Not sure,No,4,Other,Bepsi,Taste/flavor preference,Reduced sugar content,Caffeine,Yes,No,TV commercials,Compact and portable cans,Yes,Above 150,Online retailers,Social outings/parties
103088,120118,Daily,Throughout the day,To enhance sports performance,Yes,Neutral,Healthy,Yes,2,Not available locally,Cola-Coka,Availability,Reduced sugar content,Guarana,No,Yes,Online ads,Compact and portable cans,No,100-150,Local stores,Sports/exercise
103097,120127,2-3 times a week,Throughout the day,Increased energy and focus,No,Negative,Not sure,No,4,Not available locally,Cola-Coka,Taste/flavor preference,More natural ingredients,Caffeine,No,No,Online ads,Collectible packaging,Yes,100-150,Gyms and fitness centers,Sports/exercise
103098,120128,Once a week,To stay awake during work/study,To enhance sports performance,Yes,Neutral,Dangerous,No,4,Not available locally,Cola-Coka,Effectiveness,Healthier alternatives,Vitamins,Yes,Yes,Outdoor billboards,Innovative bottle design,Yes,50-99,Online retailers,Sports/exercise
103100,120130,2-3 times a week,To stay awake during work/study,To combat fatigue,Yes,Neutral,Effective,Yes,1,Not available locally,Bepsi,Taste/flavor preference,Reduced sugar content,Sugar,Yes,Yes,Other,Eco-friendly design,No,Below 50,Supermarkets,Sports/exercise
103101,120131,Rarely,To stay awake during work/study,Other,No,Neutral,Effective,Yes,5,Other,Cola-Coka,Brand reputation,Healthier alternatives,Vitamins,Yes,Not Sure,Online ads,Compact and portable cans,No,50-99,Supermarkets,Studying/working late
103102,120132,2-3 times a week,To stay awake during work/study,Other,No,Neutral,Healthy,Yes,3,Other,Bepsi,Brand reputation,Healthier alternatives,Guarana,Yes,Yes,Online ads,Collectible packaging,No,50-99,Online retailers,Sports/exercise
103105,120135,2-3 times a week,To stay awake during work/study,To enhance sports performance,Yes,Neutral,Not sure,No,2,Not interested in energy drinks,Cola-Coka,Other,Wider range of flavors,Caffeine,No,Not Sure,TV commercials,Innovative bottle design,Not Sure,50-99,Online retailers,Studying/working late
103106,120136,Rarely,To stay awake during work/study,To enhance sports performance,No,Negative,Healthy,No,3,Not interested in energy drinks,Cola-Coka,Availability,More natural ingredients,Guarana,Yes,Yes,Online ads,Compact and portable cans,No,50-99,Supermarkets,Studying/working late
103108,120138,2-3 times a week,Before exercise,To enhance sports performance,Yes,Neutral,Dangerous,Yes,5,Other,Cola-Coka,Brand reputation,Other,Guarana,Yes,Yes,Outdoor billboards,Eco-friendly design,No,Above 150,Online retailers,Social outings/parties
103109,120139,2-3 times a month,Before exercise,To combat fatigue,No,Positive,Not sure,No,3,Not available locally,Cola-Coka,Brand reputation,Other,Vitamins,No,Yes,Online ads,Innovative bottle design,No,100-150,Supermarkets,Studying/working late
103110,120140,2-3 times a month,To stay awake during work/study,Increased energy and focus,No,Negative,Healthy,No,5,Not available locally,Cola-Coka,Effectiveness,More natural ingredients,Guarana,Yes,Yes,Online ads,Innovative bottle design,No,Below 50,Gyms and fitness centers,Sports/exercise
103113,120143,2-3 times a month,Before exercise,To combat fatigue,No,Neutral,Dangerous,No,2,Not interested in energy drinks,Cola-Coka,Availability,More natural ingredients,Sugar,Yes,No,Online ads,Collectible packaging,No,100-150,Supermarkets,Sports/exercise
103116,120146,2-3 times a week,To stay awake during work/study,To enhance sports performance,Yes,Neutral,Effective,No,4,Unfamiliar with the brand,Cola-Coka,Brand reputation,Other,Sugar,Yes,No,Print media,Collectible packaging,No,50-99,Online retailers,Sports/exercise
103118,120148,2-3 times a week,To stay awake during work/study,To enhance sports performance,No,Neutral,Effective,No,4,Not interested in energy drinks,Cola-Coka,Taste/flavor preference,Reduced sugar content,Caffeine,Yes,No,TV commercials,Collectible packaging,No,Below 50,Supermarkets,Social outings/parties
103119,120149,2-3 times a month,Before exercise,Increased energy and focus,No,Negative,Not sure,No,1,Unfamiliar with the brand,Cola-Coka,Taste/flavor preference,Healthier alternatives,Vitamins,No,Yes,Outdoor billboards,Innovative bottle design,Yes,50-99,Supermarkets,Studying/working late
103122,120152,Once a week,Throughout the day,To combat fatigue,No,Neutral,Healthy,No,3,Unfamiliar with the brand,Cola-Coka,Availability,Healthier alternatives,Sugar,Yes,Not Sure,TV commercials,Compact and portable cans,No,100-150,Supermarkets,Sports/exercise
103123,120153,2-3 times a week,Before exercise,To combat fatigue,No,Positive,Healthy,Yes,3,Not available locally,Bepsi,Availability,Wider range of flavors,Caffeine,Yes,Yes,Online ads,Other,No,50-99,Supermarkets,Social outings/parties
103124,120154,Rarely,Before exercise,To combat fatigue,Yes,Neutral,Dangerous,No,4,Not interested in energy drinks,Bepsi,Effectiveness,More natural ingredients,Guarana,No,Yes,Online ads,Innovative bottle design,Yes,Below 50,Local stores,Studying/working late
103126,120156,2-3 times a week,Throughout the day,To combat fatigue,No,Neutral,Effective,Yes,4,Health concerns,Bepsi,Effectiveness,More natural ingredients,Sugar,Yes,Yes,Online ads,Compact and portable cans,Yes,50-99,Gyms and fitness centers,Sports/exercise
103129,120159,Daily,Before exercise,To enhance sports performance,Yes,Negative,Effective,Yes,3,Not available locally,Bepsi,Availability,More natural ingredients,Caffeine,No,Not Sure,Print media,Collectible packaging,No,Below 50,Supermarkets,Social outings/parties
103133,120163,2-3 times a week,To stay awake during work/study,To combat fatigue,Yes,Neutral,Healthy,No,3,Not available locally,Cola-Coka,Taste/flavor preference,Other,Caffeine,Yes,Not Sure,Other,Collectible packaging,No,100-150,Supermarkets,Sports/exercise
103136,120166,Rarely,Before exercise,To combat fatigue,No,Positive,Effective,No,5,Not interested in energy drinks,Cola-Coka,Taste/flavor preference,More natural ingredients,Caffeine,Yes,Not Sure,Other,Eco-friendly design,No,Below 50,Supermarkets,Studying/working late
103139,120169,Daily,Before exercise,To enhance sports performance,No,Neutral,Healthy,Yes,2,Not interested in energy drinks,Cola-Coka,Availability,Wider range of flavors,Vitamins,No,No,Online ads,Collectible packaging,No,50-99,Supermarkets,Sports/exercise
103145,120175,Daily,To stay awake during work/study,To combat fatigue,Yes,Positive,Not sure,No,2,Health concerns,Cola-Coka,Brand reputation,Reduced sugar content,Sugar,Yes,No,TV commercials,Eco-friendly design,Yes,Above 150,Supermarkets,Sports/exercise
103146,120176,2-3 times a month,To stay awake during work/study,To boost performance,No,Neutral,Not sure,Yes,3,Not interested in energy drinks,Cola-Coka,Taste/flavor preference,Healthier alternatives,Guarana,Yes,Yes,TV commercials,Innovative bottle design,Not Sure,Above 150,Online retailers,Sports/exercise
103150,120180,2-3 times a month,To stay awake during work/study,To enhance sports performance,No,Neutral,Not sure,No,3,Health concerns,Cola-Coka,Other,Other,Caffeine,Yes,No,TV commercials,Compact and portable cans,Not Sure,Below 50,Online retailers,Sports/exercise
103151,120181,Once a week,Before exercise,To enhance sports performance,No,Neutral,Effective,Yes,1,Health concerns,Cola-Coka,Effectiveness,Wider range of flavors,Vitamins,Yes,No,TV commercials,Innovative bottle design,No,100-150,Online retailers,Social outings/parties
103152,120182,2-3 times a month,Throughout the day,Increased energy and focus,Yes,Negative,Effective,Yes,2,Health concerns,Cola-Coka,Taste/flavor preference,Reduced sugar content,Vitamins,No,Yes,Online ads,Collectible packaging,Yes,50-99,Supermarkets,Sports/exercise
103153,120183,Once a week,For mental alertness,Increased energy and focus,No,Neutral,Not sure,Yes,2,Unfamiliar with the brand,Cola-Coka,Availability,Wider range of flavors,Sugar,Yes,Yes,Online ads,Compact and portable cans,Yes,100-150,Supermarkets,Social outings/parties
103158,120188,2-3 times a week,Throughout the day,To combat fatigue,Yes,Neutral,Effective,No,3,Health concerns,Bepsi,Taste/flavor preference,Wider range of flavors,Guarana,Yes,Not Sure,Online ads,Compact and portable cans,No,Above 150,Other,Studying/working late
103162,120192,Once a week,To stay awake during work/study,To enhance sports performance,No,Positive,Effective,No,5,Other,Bepsi,Brand reputation,More natural ingredients,Sugar,No,Yes,Online ads,Compact and portable cans,Not Sure,50-99,Supermarkets,Sports/exercise
103163,120193,2-3 times a month,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Healthy,Yes,4,Not interested in energy drinks,Bepsi,Taste/flavor preference,Other,Sugar,Yes,Not Sure,Online ads,Compact and portable cans,No,Below 50,Supermarkets,Other
103165,120195,Rarely,Before exercise,To enhance sports performance,Yes,Neutral,Healthy,Yes,2,Not interested in energy drinks,Bepsi,Taste/flavor preference,Healthier alternatives,Guarana,Yes,No,Online ads,Collectible packaging,Yes,50-99,Supermarkets,Sports/exercise
103170,120200,Daily,For mental alertness,To boost performance,Yes,Neutral,Healthy,Yes,2,Not available locally,Bepsi,Taste/flavor preference,Reduced sugar content,Sugar,Yes,Yes,Online ads,Compact and portable cans,No,50-99,Online retailers,Sports/exercise
103172,120202,2-3 times a week,Before exercise,Increased energy and focus,No,Neutral,Not sure,No,5,Health concerns,Cola-Coka,Availability,Reduced sugar content,Sugar,No,No,Other,Compact and portable cans,Yes,Above 150,Online retailers,Social outings/parties
103173,120203,Rarely,Before exercise,To enhance sports performance,Yes,Neutral,Effective,Yes,3,Not available locally,Bepsi,Availability,More natural ingredients,Caffeine,Yes,No,Online ads,Compact and portable cans,Yes,Above 150,Gyms and fitness centers,Studying/working late
103174,120204,2-3 times a week,To stay awake during work/study,Increased energy and focus,No,Neutral,Effective,No,1,Health concerns,Bepsi,Taste/flavor preference,Healthier alternatives,Caffeine,Yes,Not Sure,Online ads,Innovative bottle design,No,50-99,Supermarkets,Sports/exercise
103176,120206,Rarely,Before exercise,Other,No,Negative,Dangerous,Yes,1,Other,Bepsi,Effectiveness,Healthier alternatives,Vitamins,No,Yes,TV commercials,Innovative bottle design,No,Below 50,Supermarkets,Sports/exercise
103178,120208,2-3 times a month,To stay awake during work/study,To combat fatigue,Yes,Positive,Effective,No,4,Not available locally,Bepsi,Availability,Reduced sugar content,Vitamins,Yes,Yes,Online ads,Compact and portable cans,No,50-99,Online retailers,Studying/working late
103180,120210,Once a week,Before exercise,Other,No,Negative,Not sure,No,2,Not interested in energy drinks,Bepsi,Brand reputation,Reduced sugar content,Caffeine,Yes,No,Other,Innovative bottle design,Yes,50-99,Supermarkets,Studying/working late
103181,120211,Rarely,For mental alertness,To boost performance,No,Neutral,Not sure,Yes,5,Other,Cola-Coka,Brand reputation,Wider range of flavors,Sugar,Yes,Yes,Online ads,Innovative bottle design,No,50-99,Local stores,Sports/exercise
103182,120212,2-3 times a week,For mental alertness,Increased energy and focus,Yes,Neutral,Dangerous,No,3,Not available locally,Cola-Coka,Other,Healthier alternatives,Caffeine,Yes,No,TV commercials,Innovative bottle design,Yes,50-99,Online retailers,Sports/exercise
103184,120214,Once a week,Before exercise,Other,Yes,Positive,Dangerous,Yes,4,Not interested in energy drinks,Cola-Coka,Taste/flavor preference,More natural ingredients,Vitamins,No,Yes,Online ads,Eco-friendly design,No,100-150,Supermarkets,Studying/working late
103187,120217,Daily,To stay awake during work/study,To combat fatigue,No,Positive,Dangerous,No,3,Health concerns,Cola-Coka,Effectiveness,Other,Sugar,No,Yes,TV commercials,Collectible packaging,Yes,Below 50,Online retailers,Social outings/parties
103189,120219,Rarely,For mental alertness,Increased energy and focus,Yes,Neutral,Effective,Yes,5,Not interested in energy drinks,Bepsi,Taste/flavor preference,Reduced sugar content,Sugar,Yes,No,Online ads,Innovative bottle design,No,Above 150,Local stores,Sports/exercise
103190,120220,2-3 times a week,Before exercise,Other,No,Neutral,Healthy,Yes,4,Not available locally,Cola-Coka,Availability,More natural ingredients,Guarana,Yes,Yes,Online ads,Compact and portable cans,Yes,50-99,Supermarkets,Sports/exercise
103192,120222,2-3 times a week,To stay awake during work/study,Increased energy and focus,No,Negative,Effective,Yes,2,Other,Bepsi,Brand reputation,Wider range of flavors,Caffeine,Yes,Yes,TV commercials,Eco-friendly design,Yes,Below 50,Local stores,Social outings/parties
103195,120225,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Effective,No,4,Not available locally,Bepsi,Taste/flavor preference,More natural ingredients,Caffeine,Yes,Not Sure,Outdoor billboards,Collectible packaging,Yes,Above 150,Supermarkets,Sports/exercise
103199,120229,2-3 times a month,To stay awake during work/study,To combat fatigue,No,Negative,Dangerous,Yes,3,Other,Cola-Coka,Brand reputation,Reduced sugar content,Vitamins,No,Yes,Online ads,Compact and portable cans,Not Sure,50-99,Supermarkets,Studying/working late
103200,120230,2-3 times a week,To stay awake during work/study,To boost performance,Yes,Neutral,Not sure,Yes,3,Health concerns,Bepsi,Brand reputation,Wider range of flavors,Caffeine,No,Not Sure,Outdoor billboards,Innovative bottle design,No,50-99,Supermarkets,Studying/working late
103201,120231,2-3 times a week,For mental alertness,To combat fatigue,No,Neutral,Effective,No,4,Other,Bepsi,Brand reputation,Other,Vitamins,Yes,Yes,TV commercials,Innovative bottle design,No,Below 50,Supermarkets,Social outings/parties
103205,120235,Once a week,For mental alertness,Increased energy and focus,Yes,Neutral,Not sure,Yes,3,Other,Bepsi,Brand reputation,Healthier alternatives,Caffeine,Yes,No,Online ads,Other,Yes,100-150,Local stores,Studying/working late
103207,120237,2-3 times a week,To stay awake during work/study,Increased energy and focus,No,Neutral,Healthy,No,2,Not available locally,Bepsi,Availability,Other,Guarana,No,No,Other,Innovative bottle design,No,100-150,Supermarkets,Sports/exercise
103208,120238,Once a week,To stay awake during work/study,To combat fatigue,Yes,Positive,Healthy,No,3,Health concerns,Cola-Coka,Effectiveness,Reduced sugar content,Sugar,No,Yes,Online ads,Innovative bottle design,Not Sure,Above 150,Other,Studying/working late
103210,120240,2-3 times a week,For mental alertness,To combat fatigue,Yes,Negative,Not sure,No,5,Not interested in energy drinks,Bepsi,Other,Healthier alternatives,Sugar,Yes,Yes,Print media,Innovative bottle design,No,50-99,Gyms and fitness centers,Studying/working late
103211,120241,2-3 times a week,To stay awake during work/study,To combat fatigue,Yes,Positive,Healthy,No,2,Unfamiliar with the brand,Bepsi,Brand reputation,Wider range of flavors,Caffeine,No,Not Sure,Outdoor billboards,Eco-friendly design,No,50-99,Supermarkets,Studying/working late
103215,120245,2-3 times a month,For mental alertness,To enhance sports performance,Yes,Neutral,Effective,Yes,1,Unfamiliar with the brand,Bepsi,Brand reputation,More natural ingredients,Caffeine,Yes,No,Online ads,Innovative bottle design,Not Sure,100-150,Online retailers,Social outings/parties
103216,120246,2-3 times a month,Before exercise,To enhance sports performance,Yes,Neutral,Effective,Yes,2,Unfamiliar with the brand,Cola-Coka,Availability,More natural ingredients,Vitamins,Yes,No,Online ads,Innovative bottle design,No,50-99,Online retailers,Social outings/parties
103217,120247,2-3 times a month,To stay awake during work/study,To boost performance,Yes,Negative,Not sure,Yes,4,Not interested in energy drinks,Bepsi,Brand reputation,Wider range of flavors,Sugar,Yes,Yes,Online ads,Compact and portable cans,Yes,100-150,Online retailers,Sports/exercise
103221,120251,2-3 times a week,Throughout the day,To enhance sports performance,No,Neutral,Dangerous,No,4,Not interested in energy drinks,Cola-Coka,Availability,More natural ingredients,Guarana,No,No,TV commercials,Compact and portable cans,Yes,100-150,Online retailers,Sports/exercise
103222,120252,Once a week,Before exercise,Increased energy and focus,Yes,Negative,Effective,No,4,Not available locally,Cola-Coka,Taste/flavor preference,Healthier alternatives,Caffeine,No,Not Sure,TV commercials,Eco-friendly design,No,50-99,Online retailers,Sports/exercise
103225,120255,2-3 times a week,Throughout the day,To boost performance,Yes,Neutral,Healthy,No,1,Not interested in energy drinks,Cola-Coka,Brand reputation,More natural ingredients,Caffeine,No,Not Sure,Print media,Collectible packaging,Yes,50-99,Supermarkets,Sports/exercise
103226,120256,Rarely,To stay awake during work/study,To boost performance,Yes,Positive,Not sure,Yes,4,Unfamiliar with the brand,Cola-Coka,Availability,Reduced sugar content,Caffeine,No,Not Sure,Online ads,Compact and portable cans,No,50-99,Supermarkets,Sports/exercise
103228,120258,2-3 times a month,For mental alertness,To enhance sports performance,No,Neutral,Healthy,No,3,Other,Bepsi,Brand reputation,Reduced sugar content,Vitamins,Yes,Yes,TV commercials,Compact and portable cans,Yes,50-99,Supermarkets,Sports/exercise
103232,120262,2-3 times a month,Before exercise,To combat fatigue,No,Neutral,Healthy,No,5,Health concerns,Cola-Coka,Taste/flavor preference,Other,Sugar,Yes,Yes,Online ads,Innovative bottle design,No,50-99,Online retailers,Social outings/parties
103233,120263,Once a week,Before exercise,To combat fatigue,Yes,Neutral,Not sure,No,5,Not interested in energy drinks,Bepsi,Other,Other,Guarana,Yes,Not Sure,TV commercials,Innovative bottle design,No,100-150,Local stores,Sports/exercise
103234,120264,2-3 times a week,To stay awake during work/study,To enhance sports performance,Yes,Neutral,Healthy,Yes,1,Health concerns,Cola-Coka,Availability,Reduced sugar content,Caffeine,No,Yes,Online ads,Compact and portable cans,Yes,Below 50,Online retailers,Sports/exercise
103237,120267,2-3 times a month,Before exercise,Increased energy and focus,Yes,Neutral,Healthy,No,2,Not available locally,Bepsi,Taste/flavor preference,Reduced sugar content,Sugar,Yes,Yes,TV commercials,Compact and portable cans,Yes,Below 50,Online retailers,Sports/exercise
103238,120268,Daily,For mental alertness,To enhance sports performance,Yes,Neutral,Dangerous,Yes,3,Not interested in energy drinks,Cola-Coka,Other,Healthier alternatives,Caffeine,No,Yes,TV commercials,Innovative bottle design,Yes,50-99,Supermarkets,Social outings/parties
103240,120270,Daily,To stay awake during work/study,To enhance sports performance,No,Positive,Effective,Yes,1,Health concerns,Cola-Coka,Effectiveness,Healthier alternatives,Sugar,Yes,Yes,TV commercials,Compact and portable cans,No,Above 150,Supermarkets,Sports/exercise
103241,120271,Once a week,Before exercise,To combat fatigue,Yes,Neutral,Dangerous,No,4,Unfamiliar with the brand,Cola-Coka,Effectiveness,More natural ingredients,Guarana,Yes,Yes,TV commercials,Innovative bottle design,Yes,Above 150,Supermarkets,Sports/exercise
103243,120273,2-3 times a month,Throughout the day,To enhance sports performance,No,Neutral,Healthy,No,4,Not interested in energy drinks,Cola-Coka,Brand reputation,Reduced sugar content,Caffeine,Yes,No,Online ads,Compact and portable cans,No,100-150,Gyms and fitness centers,Studying/working late
